,index,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
13,22,12 O'Clock,2021,105.0,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
14,25,127 B,2017,116.0,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
15,28,13B: Fear Has a New Address,2009,146.0,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
16,30,15 Park Avenue,2005,116.0,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
17,32,15th August,1993,168.0,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
18,33,16 December,2002,158.0,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
19,34,18.11,2014,126.0,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
20,35,1857,1946,133.43912352005654,"Drama, History",5.0,8,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
21,36,19 Revolutions,2004,94.0,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
22,38,1920,2008,138.0,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
23,39,1920 London,2016,120.0,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
24,40,1920: Evil Returns,2012,124.0,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
25,41,1921,2018,144.0,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
26,42,1942: A Love Story,1994,157.0,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
27,43,1971,2007,136.0,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
28,44,1978: A Teen Night Out,2019,107.0,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
29,45,1982 - A Love Marriage,2017,113.0,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
30,46,19th January,2014,133.43912352005654,Drama,7.3,16,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
31,49,2 Little Indians,2013,133.43912352005654,"Comedy, Family",5.6,14,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
32,50,2 Nights in Soul Valley,2012,80.0,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
33,51,2 October,2003,122.0,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
34,53,2 States,2014,149.0,"Comedy, Drama, Romance",6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
35,54,2.0,2018,148.0,"Action, Sci-Fi",6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
36,55,2001: Do Hazaar Ek,1998,149.0,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
37,58,2016 the End,2017,130.0,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
38,60,22 Days,2018,124.0,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
39,61,22 June 1897,1979,121.0,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
40,62,22 Yards,2019,126.0,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
41,63,23rd March 1931: Shaheed,2002,188.0,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
42,68,26th July at Barista,2008,133.43912352005654,Drama,3.1,32,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
43,69,27 Down,1974,115.0,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
44,70,3 AM: A Paranormal Experience,2014,103.0,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
45,71,3 Bachelors,2012,114.0,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
46,73,3 Deewarein,2003,115.0,"Crime, Drama",7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
47,74,3 Dev,2019,122.0,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
48,75,3 Idiots,2009,170.0,"Comedy, Drama",8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
49,76,3 Nights 4 Days,2009,133.43912352005654,"Drama, Romance",5.2,23,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
50,78,3 Storeys,2018,100.0,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
51,79,3.0 Megapixel,2015,99.0,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
52,80,30 Days,2004,133.43912352005654,Horror,5.0,14,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
53,81,30 Minutes,2016,133.43912352005654,Thriller,4.8,26,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
54,82,31st October,2015,109.0,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
55,83,340,2009,133.43912352005654,Thriller,4.6,9,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
56,84,36 China Town,2006,140.0,"Comedy, Mystery, Thriller",5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
57,85,36 Chowringhee Lane,1981,122.0,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
58,86,36 Ghante,1974,133.43912352005654,"Action, Crime, Drama",6.7,128,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
59,87,376 D,2020,128.0,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
60,88,377 AbNormal,2019,93.0,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
61,89,3D Saamri,1985,102.0,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
62,90,3G: A Killer Connection,2013,125.0,"Horror, Sci-Fi, Thriller",3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
63,91,3rd EYE,2019,145.0,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
64,94,404: Error Not Found,2011,121.0,"Drama, Mystery, Thriller",7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
65,95,417 Miles,2016,75.0,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
66,96,42 Kms.,2009,133.43912352005654,"Drama, Sport",3.9,14,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
67,97,498A-The Wedding Gift,2012,113.0,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
68,99,5 Ghantey Mien 5 Crore,2012,111.0,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
69,100,5 Rifles,1974,134.0,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
70,103,50 Lakh,2007,133.43912352005654,"Comedy, Thriller",6.5,82,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
71,105,5ters: Castle of Dark Master,2011,110.0,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash,Gagan
72,109,6-5=2,2014,104.0,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
73,110,68 Pages,2007,92.0,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
74,113,7 1/2 Phere: More Than a Wedding,2005,136.0,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
75,114,7 Bijliyaan,1988,126.0,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
76,115,7 Days,1995,133.43912352005654,"Action, Drama",3.4,10,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
77,116,7 Hours to Go,2016,115.0,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
78,117,7 Islands and a Metro,2006,100.0,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
79,118,7 Khoon Maaf,2011,137.0,"Drama, Mystery, Thriller",6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
80,119,7 Saal Baad,1987,127.0,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
81,120,706,2019,120.0,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
82,121,72 Hours: Martyr Who Never Died,2019,130.0,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
83,125,8 x 10 Tasveer,2009,122.0,"Action, Fantasy, Mystery",5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
84,126,8119 Miles,2021,115.0,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
85,128,88 Antop Hill,2003,119.0,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
86,129,9 O' Clock,2017,124.0,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
87,132,99,2009,135.0,"Comedy, Crime, Drama",7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
88,133,99 Songs,2019,128.0,"Musical, Romance",7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
89,134,99.9 FM,2005,90.0,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
90,137,A Billion Colour Story,2016,105.0,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
91,142,A Daughter's Tale PANKH,2017,145.0,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
92,143,A Death in the Gunj,2016,110.0,"Drama, Thriller",7.5,4637,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
93,146,A Film by Aravind,2005,150.0,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
94,147,A Flat,2010,103.0,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
95,148,A Flying Jatt,2016,151.0,"Action, Adventure, Comedy",3.0,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
96,149,A Game Called Relationship,2020,109.0,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
97,150,A Gentleman,2017,145.0,"Action, Comedy",6.2,5227,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
98,151,A Gift of Love: Sifar,2019,95.0,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
99,153,A Journey of Samyak Buddha,2013,127.0,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
100,156,A New Love Ishtory,2013,140.0,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
101,160,A Scandall,2016,112.0,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
102,166,A Strange Love Story,2011,133.43912352005654,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
103,167,A Sublime Love Story: Barsaat,2005,143.0,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
104,169,A Thin Line,2019,104.0,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
105,173,A Wednesday,2008,104.0,"Action, Crime, Drama",8.1,75118,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
106,175,Aa Ab Laut Chalen,1999,177.0,"Musical, Romance, Drama",5.5,1621,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
107,176,AA BB KK,2018,121.0,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
108,178,Aa Dekhen Zara,2009,117.0,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
109,179,Aa Gale Lag Jaa,1973,148.0,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
110,180,Aa Gale Lag Jaa,1994,158.0,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
111,181,Aa Gaya Hero,2017,123.0,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
112,182,Aa Jao Please,2016,120.0,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
113,183,Aaag Hi Aag,1999,133.43912352005654,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
114,184,Aabra Ka Daabra,2004,144.0,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
115,186,Aabroo,1968,170.0,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman
116,188,Aabshar,1953,133.43912352005654,"Drama, Romance",5.0,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
117,191,Aadamkhor,1986,133.43912352005654,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
118,192,Aadamkhor,2018,72.0,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
119,197,Aadat Se Majboor,1982,105.0,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
120,198,Aadha Din Aadhee Raat,1977,132.0,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
121,199,Aadhaar,2019,107.0,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
122,201,Aadharshila,1982,154.0,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
123,203,Aadhi Bhagavan,2013,157.0,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
124,207,Aadhi Raat,1950,115.0,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
125,212,Aadmi,1968,175.0,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
126,213,Aadmi,1993,153.0,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun
127,214,Aadmi Aur Apsara,1991,142.0,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
128,216,Aadmi Aur Insaan,1969,168.0,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
129,217,Aadmi Khilona Hai,1993,158.0,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda
130,218,Aadmi Ki Aurat Aur Anya Kahaniya,2009,78.0,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
131,219,Aadmi Sadak Ka,1977,138.0,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
132,220,Aadupuliyattam,2016,145.0,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
133,221,Aafat,1977,148.0,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
134,224,Aag,1948,138.0,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
135,225,Aag,1967,133.43912352005654,"Action, Drama",6.2,29,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
136,226,Aag,1994,139.0,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
137,227,Aag Andhi Aur Toofan,1994,133.43912352005654,"Action, Thriller",3.1,11,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
138,229,Aag Aur Chingari,1994,133.0,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani
139,230,Aag Aur Daag,1970,133.43912352005654,"Action, Comedy, Drama",3.7,14,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
140,232,Aag Aur Shola,1986,133.43912352005654,"Action, Drama, Romance",4.1,42,K. Bapaiah,Jeetendra,Sridevi,Mandakini
141,236,Aag Hi Aag,1987,170.0,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
142,237,Aag Ka Dariya,1990,133.43912352005654,Action,4.2,22,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
143,239,Aag Ka Gola,1990,180.0,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
144,242,Aag Ka Toofaan,1993,137.0,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
145,243,Aag Ke Sholay,1988,138.0,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
146,245,Aag Laga Do Sawan Ko,1991,133.43912352005654,"Drama, Romance",5.7,7,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
147,247,Aag Se Khelenge,1989,151.0,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
148,248,Aagaah: The Warning,2011,133.43912352005654,"Drama, Horror, Thriller",3.6,23,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
149,249,Aage Badho,1947,133.43912352005654,Drama,6.0,6,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
150,252,Aage Ki Soch,1988,133.43912352005654,Comedy,4.8,30,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
151,253,Aage Maut Peeche Maut,2001,78.0,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
152,255,Aagey Se Right,2009,117.0,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
153,257,Aaghaaz,2000,153.0,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
154,259,Aagman,1982,133.43912352005654,Drama,4.8,8,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
155,260,Aah,1953,150.0,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
156,261,Aahat - Ek Ajeeb Kahani,1971,133.43912352005654,Thriller,6.4,10,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
157,264,Aahuti,1978,135.0,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
158,270,Aaina,1993,149.0,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
159,271,Aaina,1977,150.0,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
160,272,Aaina,1944,133.43912352005654,"Drama, Romance",3.2,5,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
161,275,Aaj,1987,116.0,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
162,276,Aaj Aur Kal,1947,133.43912352005654,"Comedy, Sci-Fi",4.1,8,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
163,277,Aaj Aur Kal,1963,144.0,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
164,280,Aaj Ka Andha Kanoon,2003,46.0,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
165,281,Aaj Ka Arjun,1990,164.0,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
166,282,Aaj Ka Daur,1985,153.0,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
167,284,Aaj Ka Gang Leader,1993,133.43912352005654,Action,5.6,29,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
168,285,Aaj Ka Goonda Raaj,1992,147.0,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
169,286,Aaj Ka Gunda,2001,133.43912352005654,"Action, Thriller",4.7,23,Kanti Shah,Dharmendra,Mohan Joshi,Shakti Kapoor
170,288,Aaj Ka Gunda Raaj,2006,133.43912352005654,Action,6.0,46,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
171,292,Aaj Ka Laawaris,2006,133.43912352005654,Action,5.7,17,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
172,293,Aaj Ka Mahaatma,1976,170.0,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
173,295,Aaj Ka Nanha Farishta,2000,133.43912352005654,"Action, Crime, Thriller",5.8,8,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
174,297,Aaj Ka Ravan,2000,128.0,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
175,299,Aaj Ka Samson,1991,123.0,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
176,301,Aaj Ka Ye Ghar,1976,133.43912352005654,Drama,4.5,10,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
177,302,Aaj Kaa M.L.A. Ram Avtar,1984,157.0,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
178,304,Aaj Ke Angaarey,1988,128.0,"Action, Drama",5.0,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
179,305,Aaj Ke Shahenshah,1990,132.0,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
180,306,Aaj Ke Sholey,1985,133.43912352005654,Adventure,5.3,37,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
181,307,Aaj Ki Awaz,1984,137.0,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
182,317,Aaj Ki Taaza Khabar,1973,133.43912352005654,Comedy,7.3,88,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
183,318,Aaj Kie Aurat,1993,133.43912352005654,"Action, Drama",3.8,14,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
184,323,Aaja Meri Jaan,1993,162.0,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
185,324,Aaja Nachle,2007,137.0,"Drama, Family, Music",6.2,2998,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
186,326,Aaja Sanam,1968,121.0,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
187,327,Aaja Sanam,1994,133.43912352005654,"Drama, Romance",3.3,7,Mohnish Bahl,Chandni,Kulbhushan Kharbanda,Ranbir Pushp
188,331,Aakhir Kaun Thi Woh?,2000,133.43912352005654,"Action, Mystery, Thriller",4.4,5,Bapu,Raj Babbar,Raza Murad,Sripradha
189,332,Aakhir Kyon?,1985,133.43912352005654,Drama,6.6,158,J. Om Prakash,Rajesh Khanna,Smita Patil,Rakesh Roshan
